# Time-averaged data for fix myat2
# TimeStep v_press_x
10100 4.1423
10200 -157.255
10300 -351.125
10400 -480.722
10500 -707.304
10600 -846.415
10700 -1008.85
10800 -1156.84
10900 -1260.03
11000 -1512.42
11100 -1616.45
11200 -1821.56
11300 -1835.23
11400 -2105.73
11500 -2263.09
11600 -2410.42
11700 -2693.12
11800 -2851.25
11900 -2944.54
12000 -3092.07
12100 -3286.2
12200 -3540.81
12300 -3586.92
12400 -3767.41
12500 -3904.46
12600 -4201.81
12700 -4288.73
12800 -4460.99
12900 -4682.07
13000 -4804.68
13100 -4988.95
13200 -5271.81
13300 -5311.7
13400 -5651.99
13500 -5666.14
13600 -5797.14
13700 -6085.23
13800 -6153.32
13900 -6312.18
14000 -6606.53
14100 -6714.7
14200 -6844.39
14300 -7034.35
14400 -7245.03
14500 -7544.32
14600 -7526.9
14700 -7867.62
14800 -7928.55
14900 -8122.02
15000 -8378.47
15100 -8479.54
15200 -8711.2
15300 -8896.14
15400 -9181.45
15500 -9327.33
15600 -9479.53
15700 -9547.53
15800 -9821.94
15900 -9978.55
16000 -10217.4
16100 -10223.6
16200 -10496.1
16300 -10663
16400 -10864.6
16500 -11058.4
16600 -11274.2
16700 -11536.8
16800 -11711.2
16900 -11922.9
17000 -12051.9
17100 -12249.2
17200 -12635.8
17300 -12599
17400 -12877
17500 -13008.8
17600 -13121.1
17700 -13362.3
17800 -13597.3
17900 -13825.8
18000 -13980.7
18100 -14137
18200 -14412.9
18300 -14586.5
18400 -14844.2
18500 -14946.8
18600 -15188.5
18700 -15283.4
18800 -15470.1
18900 -15758
19000 -15807.5
19100 -16032.5
19200 -16281.1
19300 -16425.1
19400 -16662.7
19500 -16797.6
19600 -17070.4
19700 -17224.1
19800 -17336.6
19900 -17537.6
20000 -17879.4
20100 -18071.2
20200 -18116.4
20300 -18389.3
20400 -18556.1
20500 -18763.8
20600 -18899.4
20700 -19163.6
20800 -19370.6
20900 -19463.9
21000 -19657.5
21100 -20003.5
21200 -20185.3
21300 -20296.2
21400 -20520.3
21500 -20765.4
21600 -20996
21700 -21277.3
21800 -21381.6
21900 -21458.5
22000 -21861.7
22100 -22063.9
22200 -22257.9
22300 -22313.3
22400 -22484.4
22500 -22754.7
22600 -22935.5
22700 -23092.9
22800 -23276.1
22900 -23559.2
23000 -23670.5
23100 -23923
23200 -24038.3
23300 -24310.1
23400 -24416.3
23500 -24638
23600 -24776.3
23700 -25121.7
23800 -25299.8
23900 -25485.9
24000 -25561.6
24100 -25764.8
24200 -26020.3
24300 -26215.9
24400 -26497.7
24500 -26524.9
24600 -26772.2
24700 -27005.3
24800 -27268.4
24900 -27351.4
25000 -27582.1
25100 -27725.7
25200 -27870.8
25300 -28084.1
25400 -28433
25500 -28489.4
25600 -28714.6
25700 -28954.8
25800 -29185.2
25900 -29263
26000 -29550.4
26100 -29770.1
26200 -30051.8
26300 -30099.2
26400 -30276.8
26500 -30529.6
26600 -30704
26700 -30977.3
26800 -31123.1
26900 -31269.5
27000 -31559.3
27100 -31654.5
27200 -31810
27300 -32199.5
27400 -32428.6
27500 -32507.2
27600 -32591.1
27700 -32925.3
27800 -33046.3
27900 -33322.2
28000 -33459.3
28100 -33630.9
28200 -33795
28300 -34093.8
28400 -34176
28500 -34408.2
28600 -34514.7
28700 -34871.8
28800 -35163.3
28900 -35180.9
29000 -35451.4
29100 -35545.4
29200 -35699.1
29300 -36044.2
29400 -36038.3
29500 -36506.8
29600 -36707.9
29700 -36802.2
29800 -36825.1
29900 -37182.4
30000 -37525.8
30100 -37443
30200 -37617.2
30300 -38010.4
30400 -38140
30500 -38337.5
30600 -38510.1
30700 -38589.7
30800 -38915.5
30900 -38973.9
31000 -39147.5
31100 -39316
31200 -39671.1
31300 -39683.3
31400 -39890.9
31500 -40186.5
31600 -40451.6
31700 -40515.2
31800 -40683.4
31900 -40761.7
32000 -41049.1
32100 -41232.9
32200 -41345.3
32300 -41655.6
32400 -41911.8
32500 -41889.5
32600 -41930.9
32700 -42405.8
32800 -42575.8
32900 -42855
33000 -42647
33100 -43086.3
33200 -43438.7
33300 -43402.8
33400 -43611.4
33500 -43804.9
33600 -44076.9
33700 -44288.2
33800 -44312.3
33900 -44611.3
